Startup,Revenue_Monthly,Users,New_Customers_Monthly,CAC,Expenses,ARR,LTV,Burn Rate,CAC/LTV Ratio,Burn_Rate,Efficiency,Impact,Efficiency_fixed,Rev_to_Exp
Freshworks,62500000,100000,2000,1800,50000000,750000000,7500.0,-12500000,0.0048,-12500000,4.166666666666667,Neutral,4.166666666666667,1.25
Razorpay,31500000,50000,1000,2000,10000000,378000000,7560.0,-21500000,0.0052910052910529105291,-21500000,3.78,Neutral,3.78,3.15
Swiggy,499300000,238000,4000,500,624400000,5991600000,251747.89915966385,1250000000,3.338006542e-05,1250000000,503.4957983193277,Neutral,503.4957983193277,0.7996476617552851
Zerodha,125000002,5000,500,500000,15000000,6000.0,-7500000,0,-7500000,inf,Neutral,inf,2.5
UrbanCompany,30000000,20000,400,1500,20000000,360000000,18000.0,-10000000,0.01666666667,-10000000,12.0,Neutral,12.0,1.5
CRED,20000000,10000,200,2000,15000000,240000000,24000.0,-5000000,0.01666666667,-5000000,12.0,Neutral,12.0,1.3333333333333333
Byju's,54200000,100000,2000,1500,40000000,650400000,6504.0,-14200000,0.04612546125,-14200000,0.4336,Neutral,0.4336,1.355
Meesho,56000000,100000,2000,60,40000000,672000000,6720.0,-16000000,0.001785714286,-16000000,112.0,Neutral,112.0,1.4
Simple Energy,25000000,5000,100,1200,15000000,300000000,60000.0,-10000000,0.004,-10000000,50.0,Benefited,50.0,1.6666666666666667
Erisha E-Mobility,10000000,2000,50,1500,8000000,120000000,60000.0,-2000000,0.00625,-2000000,40.0,Benefited,40.0,1.25
LAT Aerospace,12000000,500,10,2000,10000000,144000000,288000.0,-2000000,0.001388888889,-2000000,144.0,Neutral,144.0,1.2
Wankel Energy,8000000,200,5,2500,6000000,96000000,480000.0,-2000000,0.001302083333,-2000000,192.0,Benefited,192.0,1.3333333333333333
Trupeer,5000000,100,3,2000,4000000,60000000,600000.0,-1000000,0.001,-1000000,300.0,Neutral,300.0,1.25
UpGrad,42000000,50000,1000,1500,35000000,504000000,10080.0,-7000000,0.02976190476,-7000000,6.72,Neutral,6.72,1.2
Groww,33800000,50000,1000,1200,25000000,405600000,8112.0,-8800000,0.02958579882,-8800000,6.76,Neutral,6.76,1.352
Licious,20000000,20000,400,1000,15000000,240000000,12000.0,-5000000,0.01666666667,-5000000,12.0,Neutral,12.0,1.3333333333333333
Urban Ladder,15000000,10000,200,800,12000000,180000000,18000.0,-3000000,0.008888888889,-3000000,22.5,Neutral,22.5,1.25
Zolve,10000000,5000,100,1200,8000000,120000000,24000.0,-2000000,0.01,-2000000,20.0,Neutral,20.0,1.25
Cashify,12000000,5000,100,1000,9000000,144000000,28800.0,-3000000,0.006944444444,-3000000,28.8,Neutral,28.8,1.3333333333333333
Fynd,8000000,3000,60,1000,6000000,96000000,32000.0,-2000000,0.000625,-2000000,32.0,Neutral,32.0,1.3333333333333333
Khatabook,15000000,10000,200,1500,12000000,180000000,18000.0,-3000000,0.01666666667,-3000000,12.0,Neutral,12.0,1.25
Ola Electric,70000000,10000,200,1500,40000000,840000000,84000.0,-30000000,0.003571428571,-30000000,56.0,Benefited,56.0,1.75
Bounce,20000000,5000,100,1200,15000000,240000000,48000.0,-5000000,0.005,-5000000,40.0,Benefited,40.0,1.3333333333333333
Ather Energy,30000000,5000,100,1000,25000000,360000000,72000.0,-5000000,0.002777777778,-5000000,72.0,Benefited,72.0,1.2
Rivigo,40000000,10000,200,800,30000000,480000000,48000.0,-10000000,0.003333333333,-10000000,60.0,Hurt,60.0,1.3333333333333333
